scope,variant,scenario_type,runs,fields,rule_fields,llm_fields,rule_share,llm_share,normalized_fields,repaired_fields,rule_fallback_fields,unresolved_fields,hybrid_runs,hybrid_fields,schema_failure_rate,fallback_rate
variant,full,(all),126,528,108,420,0.20454545454545456,0.7954545454545454,519,9,0,0,126,528,0.017045454545454544,0.0
variant,no_context,(all),126,532,108,424,0.20300751879699247,0.7969924812030075,530,2,0,0,126,532,0.0037593984962406013,0.0
variant,no_memory,(all),126,425,0,425,0.0,1.0,410,15,0,0,126,425,0.03529411764705882,0.0
variant_scenario_type,full,ambiguous_role,6,18,0,18,0.0,1.0,18,0,0,0,6,18,0.0,0.0
variant_scenario_type,full,clarification,15,45,30,15,0.6666666666666666,0.3333333333333333,45,0,0,0,15,45,0.0,0.0
variant_scenario_type,full,complete,18,87,0,87,0.0,1.0,87,0,0,0,18,87,0.0,0.0
variant_scenario_type,full,multiple_hard,15,75,0,75,0.0,1.0,69,6,0,0,15,75,0.08,0.0
variant_scenario_type,full,no_match,9,32,0,32,0.0,1.0,29,3,0,0,9,32,0.09375,0.0
variant_scenario_type,full,preference_change,36,177,78,99,0.4406779661016949,0.559322033898305,177,0,0,0,36,177,0.0,0.0
variant_scenario_type,full,profile_dialogue_conflict,15,60,0,60,0.0,1.0,60,0,0,0,15,60,0.0,0.0
variant_scenario_type,full,soft_tradeoff,12,34,0,34,0.0,1.0,34,0,0,0,12,34,0.0,0.0
variant_scenario_type,no_context,ambiguous_role,6,18,0,18,0.0,1.0,18,0,0,0,6,18,0.0,0.0
variant_scenario_type,no_context,clarification,15,45,30,15,0.6666666666666666,0.3333333333333333,43,2,0,0,15,45,0.044444444444444446,0.0
variant_scenario_type,no_context,complete,18,87,0,87,0.0,1.0,87,0,0,0,18,87,0.0,0.0
variant_scenario_type,no_context,multiple_hard,15,75,0,75,0.0,1.0,75,0,0,0,15,75,0.0,0.0
variant_scenario_type,no_context,no_match,9,36,0,36,0.0,1.0,36,0,0,0,9,36,0.0,0.0
variant_scenario_type,no_context,preference_change,36,177,78,99,0.4406779661016949,0.559322033898305,177,0,0,0,36,177,0.0,0.0
variant_scenario_type,no_context,profile_dialogue_conflict,15,60,0,60,0.0,1.0,60,0,0,0,15,60,0.0,0.0
variant_scenario_type,no_context,soft_tradeoff,12,34,0,34,0.0,1.0,34,0,0,0,12,34,0.0,0.0
variant_scenario_type,no_memory,ambiguous_role,6,18,0,18,0.0,1.0,18,0,0,0,6,18,0.0,0.0
variant_scenario_type,no_memory,clarification,15,15,0,15,0.0,1.0,15,0,0,0,15,15,0.0,0.0
variant_scenario_type,no_memory,complete,18,87,0,87,0.0,1.0,87,0,0,0,18,87,0.0,0.0
variant_scenario_type,no_memory,multiple_hard,15,75,0,75,0.0,1.0,75,0,0,0,15,75,0.0,0.0
variant_scenario_type,no_memory,no_match,9,36,0,36,0.0,1.0,36,0,0,0,9,36,0.0,0.0
variant_scenario_type,no_memory,preference_change,36,99,0,99,0.0,1.0,99,0,0,0,36,99,0.0,0.0
variant_scenario_type,no_memory,profile_dialogue_conflict,15,60,0,60,0.0,1.0,45,15,0,0,15,60,0.25,0.0
variant_scenario_type,no_memory,soft_tradeoff,12,35,0,35,0.0,1.0,35,0,0,0,12,35,0.0,0.0
